canonical	count	symbol	root	quality	pitch_names	root_qual	chord_size
"000101011001"	18	E-+addF,A-	E-	augmented	E- augmented	E- F G A- B	5
"101000110100"	1661	D7/CaddG	D	major	D major	C D F# G A	5
"100100100001"	198	CdimaddC-	C	diminished	C diminished	C E- G- C-	4
"000110100001"	321	C-addF-	C-	major	C- major	E- F- G- C-	4
"101001010010"	197	Gm7/C	G	minor	G minor	C D F G B-	5
"001000101010"	46	D+addG#	D	augmented	D augmented	D F# G# A#	4
"010110000001"	37	C#m9	C#	minor	C# minor	C# D# E B	4
"000000101101"	134	*	G#	minor	G# minor	F# G# A B	4
"010000001101"	191	AM9/C#	A	major	A major	C# G# A B	4
"101011000000"	483	Dm9/C	D	minor	D minor	C D E F	4
"110100001010"	43	A-/CaddB-,D-	A-	major	A- major	C D- E- A- B-	5
"010011100000"	6	F#power/C#addE#,E	F#	other	F# other	C# E E# F#	4
"101001010000"	2030	*	D	minor	D minor	C D F G	4
"110101010000"	5	CmaddF,D-	C	minor	C minor	C D- E- F G	5
"001010010110"	95	E/o7/DaddA	E	diminished	E diminished	D E G A B-	5
"000001011001"	149	*	G	major	G major	F G A- B	4
"001001000110"	2375	B-maj7/D	B-	major	B- major	D F A B-	4
"010000101100"	303	F#m/C#addG#	F#	minor	F# minor	C# F# G# A	4
"000010011001"	81	EmaddG#	E	other	E other	E G G# B	4
"011000110110"	5	GmM9/C#	G	minor	G minor	C# D F# G A B-	6
"100111000110"	7	F7/CaddB-,E	F	major	F major	C E- E F A B-	6
"100010100000"	1111	*	F#	other	F# other	C E F#	3
"101100001001"	6	A-/CaddD,B	A-	major	A- major	C D E- A- B	5
"100110001001"	5	A-/CaddE,B	A-	other	A- other	C E- E A- B	5
"100101001010"	140	Fm7/CaddB-	F	minor	F minor	C E- F A- B-	5
"111001010101"	20	Gdom7dim5/CaddA,D	G	other	G other	C D- D F G A B	7
"100010001000"	1722	C+	C	augmented	C augmented	C E G#	3
"010110000101"	6	A/C#addD#,B	A	major	A major	C# D# E A B	5
"000010001100"	1234	Apower/EaddG#	A	other	A other	E G# A	3
"101110110110"	8	Cm9addA,F#,E	C	other	C other	C D E- E F# G A B-	8
"001101110010"	6	E-mM9/DaddG	E-	other	E- other	D E- F G- G B-	6
"000011000101"	101	*	F	major	F major	E F A B	4
"110001000000"	391	*	D-	major	D- major	C D- F	3
"001000010100"	5209	Dsus	G	other	G other	D G A	3
"001101000101"	10	B/o7/DaddE-	B	diminished	B diminished	D E- F A B	5
"001000101101"	151	G#/ob9/D	G#	diminished	G# diminished	D F# G# A B	5
"010100110010"	52	D#m7/C#addG	D#	minor	D# minor	C# D# F# G A#	5
"011000010011"	22	Gm/C#addB	G	other	G other	C# D G B- B	5
"000000001010"	4129	*	A#	other	A# other	G# A#	2
"001100010110"	22	E-maj7/DaddA	E-	major	E- major	D E- G A B-	5
"001010001011"	14	Edom7dim5/DaddB	E	other	E other	D E G# B- B	5
"001000110110"	92	GmM9/D	G	minor	G minor	D F# G A B-	5
