canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"000000001110"	35	*	A	other	A other	chromatic trimirror	A chromatic trimirror	G# A A#	3
"101010001101"	29	AmM11/C	A	minor	A minor		A 	C D E G# A B	6
"001010100100"	2990	DaddE	D	major	D major	major-second major tetrachord	D major-second major tetrachord	D E F# A	4
"001001010010"	3866	Gm7/D	G	minor	G minor	minor seventh chord	G minor seventh chord	D F G B-	4
"011010101101"	41	C#m7addA,F#,D	C#	minor	C# minor	major scale	C# major scale	C# D E F# G# A B	7
"101011011100"	14	D/o9/CaddG,A	D	other	D other	modified blues	D modified blues	C D E F G A- A	7
"100011000010"	516	*	C	major	C major	tritone quartal tetrachord	C tritone quartal tetrachord	C E F B-	4
"011010101001"	17	C#m7addF#,D	C#	minor	C# minor	dorian hexachord	C# dorian hexachord	C# D E F# G# B	6
"100000101001"	22	*	A-	other	A- other	all-interval tetrachord	A- all-interval tetrachord	C G- A- C-	4
"010011100011"	8	F#7/C#addE#,B	F#	major	F# major	combinatorial I (I5)	F# combinatorial I (I5)	C# E E# F# A# B	6
"110100101000"	37	A-7/CaddD-	A-	major	A- major	Kumoi pentachord	A- Kumoi pentachord	C D- E- G- A-	5
"001101000011"	9	B-/DaddE-,B	B-	major	B- major	Roma (Gypsy) pentachord	B- Roma (Gypsy) pentachord	D E- F B- B	5
"001010010101"	472	Em7/DaddA	E	minor	E minor	major pentatonic	E major pentatonic	D E G A B	5
"100110100000"	70	CdimaddE	C	other	C other	major-third diminished terachord	C major-third diminished terachord	C E- E G-	4
"001100001010"	389	*	B-	major	B- major	tritone quartal tetrachord	B- tritone quartal tetrachord	D E- A- B-	4
"000110000000"	987	*	F-	other	F- other	interval class 1	F- interval class 1	E- F-	2
"010011000001"	29	*	C#	other	C# other	all-interval tetrachord	C# all-interval tetrachord	C# E E# B	4
"011010110001"	20	C#/o11	C#	diminished	C# diminished	minor hexachord	C# minor hexachord	C# D E F# G B	6
"111000010100"	21	*	A	minor	A minor	double-seconds triple-fourth pentachord	A double-seconds triple-fourth pentachord	C D- D G A	5
"100000110101"	88	F#dim/CaddG,B	F#	diminished	F# diminished	locrian pentachord	F# locrian pentachord	C F# G A B	5
"000101010110"	61	E-addA,F	E-	major	E- major	lydian pentachord	E- lydian pentachord	E- F G A B-	5
"101010010110"	34	Am7/CaddB-,D	A	minor	A minor	dorian hexachord	A dorian hexachord	C D E G A B-	6
"000110001000"	434	*	F-	major	F- major	incomplete major-seventh chord	F- incomplete major-seventh chord	E- F- A-	3
"100010000011"	38	*	C	major	C major	major third tetracluster	C major third tetracluster	C E B- B	4
"010010001101"	275	AM9/C#	A	major	A major	major-ninth chord	A major-ninth chord	C# E G# A B	5
"001011000100"	1423	DmaddE	D	minor	D minor	major-second minor tetrachord	D major-second minor tetrachord	D E F A	4
"101000101100"	54	Ddom7dim5/CaddA	D	other	D other	augmented-sixth pentachord	D augmented-sixth pentachord	C D F# A- A	5
"110001001111"	7	B-m9/C-addA,C-	B-	minor	B- minor		B- 	C D- F A- A B- C-	7
"100000001110"	10	*	A-	major	A- major	major-second tetracluster	A- major-second tetracluster	C A- A B-	4
"000001000000"	56164	Fpedal	F	other	F other	unison	F unison	F	1
"100101000001"	40	Fpower/C-addC-,E-	F	other	F other	all-interval tetrachord	F all-interval tetrachord	C E- F C-	4
"110011011101"	7	GN6/CaddA,F-,F	G	other	G other		G 	C D- F- F G A- A B	8
"000100101001"	331	A-m7/C-	A-	minor	A- minor	minor seventh chord	A- minor seventh chord	E- G- A- C-	4
"001000100001"	13504	Bm/D	B	minor	B minor	minor triad	B minor triad	D F# B	3
"101100100001"	12	CdimaddD,B	C	diminished	C diminished	major-minor-diminished pentachord	C major-minor-diminished pentachord	C D E- G- B	5
"010001101101"	14	F#mM11/C#	F#	minor	F# minor		F# 	C# E# F# G# A B	6
"011010000011"	19	A#dim/C#addD,B	A#	diminished	A# diminished	alternating pentachord	A# alternating pentachord	C# D E A# B	5
"010100000011"	11	BM9/C#	B	major	B major	phrygian tetrachord	B phrygian tetrachord	C# D# A# B	4
"100111000010"	15	*	C	other	C other	double-seconds triple-fourth pentachord	C double-seconds triple-fourth pentachord	C E- E F B-	5
"001010001101"	960	E7/DaddA	E	major	E major	Kumoi pentachord	E Kumoi pentachord	D E G# A B	5
"001100100100"	369	DaddD#	D	major	D major	major-diminished tetrachord	D major-diminished tetrachord	D D# F# A	4
