canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"110100110101"	46	Ao9/CaddG,D-	A	diminished	A diminished		A 	C D- E- G- G A B	7
"101001010010"	1521	Gm7/C	G	minor	G minor	major pentatonic	G major pentatonic	C D F G B-	5
"011000001100"	298	*	A	major	A major	double-fourth tetramirror	A double-fourth tetramirror	C# D G# A	4
"101010010100"	2863	Am7/CaddD	A	minor	A minor	major pentatonic	A major pentatonic	C D E G A	5
"110011011000"	60	D-mM7/CaddG,F	D-	other	D- other		D- 	C D- F- F G A-	6
"010001111111"	38	F#mM7/C#addG,A#,G#,B	F#	other	F# other		F# 	C# E# F# G G# A A# B	8
"010101110000"	11	*	C#	other	C# other	tritone-contracting pentachord	C# tritone-contracting pentachord	C# D# E# F# G	5
"100100100000"	15304	Cdim	C	diminished	C diminished	diminished triad	C diminished triad	C E- G-	3
"110011111011"	8	*	G-	major	G- major		G- 	C D- F- F G- G A- B- C-	9
"011000011000"	41	*	C#	other	C# other	double tritone tetramirror	C# double tritone tetramirror	C# D G G#	4
"111010000000"	118	*	C	major	C major	major-second tetracluster	C major-second tetracluster	C C# D E	4
"101001000011"	233	B-/CaddB	B-	major	B- major	major-seventh pentacluster	B- major-seventh pentacluster	C D F B- B	5
"100101000110"	3836	F7/CaddB-	F	major	F major	Kumoi pentachord	F Kumoi pentachord	C E- F A B-	5
"010110011000"	62	C#dimaddG#,D#	C#	other	C# other	Roma (Gypsy) pentachord	C# Roma (Gypsy) pentachord	C# D# E G G#	5
"101010000011"	66	C9addB,omitG	C	major	C major	tritone-expanding pentachord	C tritone-expanding pentachord	C D E B- B	5
"011001111001"	34	G7/C#addF#,A-	G	major	G major		G 	C# D F F# G A- B	7
"000100110100"	884	*	F#	minor	F# minor	major-third diminished terachord	F# major-third diminished terachord	E- F# G A	4
"011011000111"	38	B-maj7/C#addE,B	B-	major	B- major		B- 	C# D E F A B- B	7
"110110100011"	32	C/ob9addF-,C-	C	diminished	C diminished		C 	C D- E- F- G- B- C-	7
"001111000001"	8	Bdim/DaddE,E-	B	diminished	B diminished	minor-third pentacluster	B minor-third pentacluster	D E- E F B	5
"000011110101"	46	EmaddA,F,F#	E	minor	E minor	combinatorial I (I11)	E combinatorial I (I11)	E F F# G A B	6
"000001100000"	5069	*	G-	other	G- other	interval class 1	G- interval class 1	F G-	2
"111100000001"	48	*	C	minor	C minor	chromatic pentamirror	C chromatic pentamirror	C D- D E- B	5
